crash_record_id,crash_date,posted_speed_limit,traffic_control_device,device_condition,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,report_type,crash_type,damage,date_police_notified,prim_contributory_cause,sec_contributory_cause,street_no,street_direction,street_name,beat_of_occurrence,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,injuries_unknown,crash_hour,crash_day_of_week,crash_month,latitude,longitude,location,speed_limit
0b67107213b27694371c3aceabc80ac9a7cfee9d14dc3cd8170c559c445c3a82c2a972bdfb507e3cc21f39753d6dc2e090c1adae62f41081b977821392319a74,2025/3/7 0:24,40,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-03-07T00:24:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,3900,S,LAKE SHORE DR SB,212,3,NO INDICATION OF INJURY,0,0,0,0,0,6,0,0,6,3,41.82588259,-87.60097185,POINT (-87.600971854237 41.825882585011),40
d6a8d74f8c8de3f7fc77de83a16951947a4de96d55c91aa097d96091e9cb3658c5c6d805d8104035f4fa94a0d52c35469d9a3e56c71fe64bc70c802e868d57e3,2025/3/6 22:48,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,"$501 - $1,500",2025-03-06T22:48:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,5639,N,KIMBALL AVE,1711,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,22,5,3,41.98417164,-87.71364361,POINT (-87.713643612139 41.984171638665),30
c14f9f63441656e78bd971512c011b7a63b665c734e9e4aa8e718a7ea583e4bfd661d3621f56f4cf8b2a3bf6dd1cea16cb35da3371e786d8d9d1c58a6e9ac700,2025/3/6 22:26,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T23:42:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,5041,S,RACINE AVE,933,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,22,5,3,41.80205354,-87.65492729,POINT (-87.65492729077 41.802053540161),30
7a7bdc920b533b4696fb7a546e6463f3d9a14ef35589632a87ff9018874c07b05e2245d728a0a86fccbca55772004ad95c87f79459357a79335796624a5cd3e8,2025/3/6 21:47,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T21:50:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,2425,N,CENTRAL AVE,2515,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,5,3,41.92475418,-87.76587163,POINT (-87.765871628095 41.924754177024),25
6a7a8b60c68e7e99912befad78cd7257210675525db9e447380ab4131f48945b80eba7808895e881f4acc6dedcdfabfb499148ea4828a9ecedbd2f0e6c921bbb,2025/3/6 20:20,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-03-06T21:00:00.000,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2138,W,23RD ST,1034,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,2,0,20,5,3,41.85041099,-87.6798122,POINT (-87.679812195231 41.850410991304),30
2484502cdbd8a1b5d39baa320bad3a0c2eb285f7466c25ad8da90b3f4974e8be9c2eb42018ffdb4e9c188fe0f7ae0be501606d9402d12cc8ebe81b3ce71db6a8,2025/3/6 20:04,20,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,$500 OR LESS,2025-03-06T21:20:00.000,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,1735,N,MAYFIELD AVE,2531,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,5,3,41.91216737,-87.77266556,POINT (-87.772665556263 41.912167366854),20
0588676c0613847621447a4d9d35470783562f69b4938be8a2c0093d78773b79e16f012d822079baaecce46fce71e4f96b87eba8039d8a04b987806570960158,2025/3/6 19:30,30,NO CONTROLS,NO CONTROLS,CLEAR,DAWN,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T21:20:00.000,NOT APPLICABLE,NOT APPLICABLE,1321,S,INDEPENDENCE BLVD,1011,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,19,5,3,41.86372369,-87.71930053,POINT (-87.719300528402 41.863723686769),30
99201cc71409b0b856e49f1c9ab48fb9557c4f7254756bbc4af18afb14e5c0f6384213e0ec607447fa283801bc12c17100a90af27cd587f51bbd56f1f94eea70,2025/3/6 19:30,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T19:50:00.000,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,6705,S,PULASKI RD,833,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,3,41.77120368,-87.72242462,POINT (-87.722424623486 41.771203681138),30
1310659dc33324c58cd29f555fbfd993a926a696562cfd1ebf74693ac4f7c0632f600b3e5b869cf0691ebad3b7d6c7bc722e6b06b846a7a615d38b6585339ade,2025/3/6 19:18,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T19:45:00.000,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,3546,W,ADDISON ST,1732,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,19,5,3,41.9466211,-87.71702038,POINT (-87.717020376684 41.946621097145),30
2c800f56b58add20797e7ba34f4109569f7a691c0fa8c983af3ef357a329ee1fc562bc46143cf722c5efa35e5c5810ea7a685b1bcc241d7a7f38c52ea68a75a7,2025/3/6 19:16,30,NO CONTROLS,NO CONTROLS,CLEAR,DAWN,ANGLE,ALLEY,STRAIGHT AND LEVEL,DRY,"RUT, HOLES",ON SCENE,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-03-06T19:22:00.000,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,4005,S,FEDERAL ST,213,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,19,5,3,41.82161833,-87.62841525,POINT (-87.628415250901 41.821618327158),30
